                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.92218,                0.46762,                 1.2167,                 0.9671,                0.94193,                0.96862,                 0.8108,                0.83945,                0.35211,                 1.1002,              0.0010496,              0.0010496,              0.0010496
                     75,                0.90176,                0.44838,                 1.2069,                0.96867,                0.93984,                0.96763,                0.80643,                0.86008,                0.35695,                 1.1114,              0.0010364,              0.0010364,              0.0010364
                     76,                0.89655,                0.44357,                 1.1972,                0.96568,                0.94044,                0.97168,                0.82299,                0.81455,                0.35081,                 1.0869,              0.0010232,              0.0010232,              0.0010232
                     77,                0.90001,                0.44116,                 1.1995,                0.96749,                0.94408,                 0.9705,                0.81786,                0.83608,                0.34819,                 1.0991,                0.00101,                0.00101,                0.00101
                     78,                0.89046,                0.44856,                 1.1977,                0.96711,                 0.9418,                0.96833,                0.80281,                0.87455,                0.35727,                 1.1172,              0.0009968,              0.0009968,              0.0009968
                     79,                0.90241,                0.45222,                 1.2019,                0.96956,                0.94672,                0.96962,                0.81533,                0.84332,                0.34855,                 1.1033,              0.0009836,              0.0009836,              0.0009836
                     80,                0.88431,                0.44079,                 1.1877,                0.96727,                0.94732,                0.97063,                0.81941,                0.84285,                0.34807,                 1.1035,              0.0009704,              0.0009704,              0.0009704
                     81,                0.88921,                0.44097,                 1.1928,                0.97037,                0.94102,                0.97145,                0.82244,                0.82984,                 0.3431,                 1.0976,              0.0009572,              0.0009572,              0.0009572
                     82,                0.87895,                0.43918,                  1.186,                 0.9842,                0.93355,                0.97148,                 0.8245,                0.82364,                0.33912,                 1.0936,               0.000944,               0.000944,               0.000944
                     83,                  0.889,                0.43968,                 1.1933,                0.96666,                0.94373,                0.96898,                0.81763,                0.82331,                0.34194,                 1.0968,              0.0009308,              0.0009308,              0.0009308
                     84,                0.88525,                0.44026,                 1.1869,                 0.9782,                0.94005,                0.97274,                0.82362,                0.83004,                0.34185,                 1.0931,              0.0009176,              0.0009176,              0.0009176
                     85,                  0.883,                0.43986,                 1.1881,                0.97577,                0.93744,                 0.9699,                 0.8262,                0.79956,                0.32959,                 1.0774,              0.0009044,              0.0009044,              0.0009044
                     86,                0.88607,                0.44425,                 1.1962,                0.97436,                0.94493,                0.97154,                0.82599,                0.81392,                0.33405,                 1.0818,              0.0008912,              0.0008912,              0.0008912
                     87,                 0.8761,                0.44063,                 1.1907,                0.97513,                 0.9388,                0.96933,                0.82758,                0.81021,                0.33279,                 1.0837,               0.000878,               0.000878,               0.000878
                     88,                0.86538,                 0.4284,                 1.1766,                0.97015,                0.94792,                0.97021,                0.82217,                0.80087,                0.33058,                  1.081,              0.0008648,              0.0008648,              0.0008648
                     89,                0.85135,                0.42208,                 1.1647,                0.97673,                0.94373,                0.97132,                0.82612,                0.81516,                0.33525,                 1.0877,              0.0008516,              0.0008516,              0.0008516
