                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2284,                0.66383,                 1.3874,                0.96756,                0.92017,                0.96704,                0.66811,                 1.2001,                0.48633,                 1.3248,               0.005578,               0.005578,               0.005578
                     70,                 1.2389,                0.67147,                 1.4004,                0.97213,                0.92888,                 0.9671,                0.66244,                 1.2098,                0.47663,                 1.3414,               0.005512,               0.005512,               0.005512
                     71,                 1.2186,                0.65457,                 1.3714,                0.96169,                0.92163,                0.96633,                0.66423,                 1.2119,                0.48071,                 1.3408,               0.005446,               0.005446,               0.005446
                     72,                 1.2075,                0.65428,                 1.3854,                0.96975,                0.92163,                0.96475,                 0.6647,                 1.2227,                0.48628,                 1.3577,                0.00538,                0.00538,                0.00538
                     73,                 1.2067,                0.63763,                 1.3819,                0.96993,                0.92598,                0.96535,                 0.6693,                 1.2168,                0.48815,                 1.3577,               0.005314,               0.005314,               0.005314
                     74,                    1.2,                0.65231,                 1.3903,                0.96115,                0.93179,                0.96541,                0.67099,                 1.2052,                0.49021,                 1.3522,               0.005248,               0.005248,               0.005248
                     75,                  1.205,                0.64012,                 1.3676,                0.96795,                 0.9206,                0.96607,                0.66849,                 1.2025,                0.48258,                 1.3344,               0.005182,               0.005182,               0.005182
                     76,                 1.1987,                0.63582,                 1.3697,                0.97235,                0.92163,                0.96576,                0.67045,                 1.2029,                0.47791,                 1.3376,               0.005116,               0.005116,               0.005116
                     77,                 1.2086,                0.65059,                 1.3846,                0.97081,                0.91437,                0.96855,                0.67579,                 1.2003,                0.47238,                 1.3388,                0.00505,                0.00505,                0.00505
                     78,                 1.1854,                0.61755,                 1.3653,                0.97103,                0.92422,                0.96958,                0.67585,                 1.1962,                0.46966,                 1.3397,               0.004984,               0.004984,               0.004984
                     79,                 1.1914,                0.62698,                 1.3777,                0.96365,                0.92888,                0.96977,                0.67909,                 1.1878,                0.46192,                 1.3354,               0.004918,               0.004918,               0.004918
                     80,                  1.192,                0.62569,                   1.36,                0.97247,                0.92743,                  0.972,                0.67814,                 1.1975,                0.45831,                  1.338,               0.004852,               0.004852,               0.004852
                     81,                 1.1705,                0.62569,                 1.3372,                0.96133,                 0.9382,                0.97187,                 0.6808,                 1.1941,                0.45558,                  1.331,               0.004786,               0.004786,               0.004786
                     82,                 1.1759,                 0.6057,                 1.3587,                0.97415,                0.92994,                0.97302,                0.68144,                 1.1919,                 0.4507,                 1.3336,                0.00472,                0.00472,                0.00472
                     83,                 1.1597,                0.60639,                 1.3318,                0.97689,                0.92743,                0.97167,                0.68293,                 1.1954,                0.44892,                 1.3308,               0.004654,               0.004654,               0.004654
                     84,                 1.1643,                0.60946,                 1.3361,                0.97475,                0.92598,                0.96979,                0.67889,                 1.1897,                0.44832,                 1.3238,               0.004588,               0.004588,               0.004588
                     85,                 1.1535,                0.60073,                 1.3217,                0.97436,                0.92888,                0.97048,                0.68142,                 1.1883,                0.45077,                 1.3237,               0.004522,               0.004522,               0.004522
                     86,                 1.1597,                0.61336,                 1.3322,                0.97139,                0.92308,                0.96968,                0.68174,                  1.191,                0.45014,                 1.3331,               0.004456,               0.004456,               0.004456
                     87,                 1.1584,                0.59521,                 1.3433,                0.97177,                0.92308,                0.96997,                0.68344,                 1.1933,                0.44993,                 1.3369,                0.00439,                0.00439,                0.00439
                     88,                 1.1595,                0.60612,                 1.3375,                0.97089,                0.92453,                0.97013,                0.68566,                 1.1848,                0.44673,                 1.3329,               0.004324,               0.004324,               0.004324
                     89,                 1.1567,                0.60169,                 1.3432,                0.97274,                0.92453,                0.96943,                0.68691,                 1.1869,                 0.4467,                 1.3365,               0.004258,               0.004258,               0.004258
                     90,                 1.1361,                0.58905,                  1.318,                0.96664,                0.92515,                0.96883,                0.68699,                 1.1858,                0.44497,                 1.3396,               0.004192,               0.004192,               0.004192
                     91,                  1.142,                0.58465,                 1.3095,                0.96969,                 0.9286,                0.96979,                0.68658,                 1.1854,                0.44339,                 1.3361,               0.004126,               0.004126,               0.004126
                     92,                 1.1508,                0.59623,                 1.3195,                0.96422,                0.94049,                0.97043,                0.68692,                 1.1838,                0.44311,                 1.3356,                0.00406,                0.00406,                0.00406
                     93,                  1.143,                0.59082,                 1.3101,                0.96341,                0.93759,                 0.9709,                0.68628,                 1.1816,                0.44252,                 1.3327,               0.003994,               0.003994,               0.003994
                     94,                 1.1362,                0.57838,                 1.3125,                0.96651,                0.93904,                0.97041,                0.68222,                 1.1838,                0.44182,                 1.3331,               0.003928,               0.003928,               0.003928
                     95,                 1.1471,                0.57967,                 1.3071,                0.96564,                0.93904,                 0.9705,                0.68477,                 1.1886,                 0.4398,                 1.3345,               0.003862,               0.003862,               0.003862
                     96,                 1.1395,                0.58361,                 1.3099,                0.96533,                0.93904,                 0.9708,                0.68424,                 1.1894,                0.43963,                  1.335,               0.003796,               0.003796,               0.003796
                     97,                 1.1251,                0.56312,                 1.3079,                0.96426,                0.93982,                0.97022,                0.68458,                 1.1916,                0.43973,                 1.3417,                0.00373,                0.00373,                0.00373
                     98,                 1.1048,                 0.5545,                 1.2944,                0.96148,                  0.942,                0.97085,                0.68603,                  1.188,                0.44012,                 1.3433,               0.003664,               0.003664,               0.003664
                     99,                 1.1315,                0.57612,                 1.3164,                  0.963,                0.94049,                0.97075,                 0.6854,                 1.1884,                0.43786,                 1.3467,               0.003598,               0.003598,               0.003598
                    100,                  1.116,                0.57497,                 1.3112,                 0.9647,                0.93904,                0.97059,                0.68677,                 1.1914,                0.43781,                 1.3518,               0.003532,               0.003532,               0.003532
                    101,                  1.116,                0.56816,                 1.3203,                0.96561,                0.93725,                0.97021,                0.68903,                 1.1918,                0.43496,                 1.3564,               0.003466,               0.003466,               0.003466
                    102,                 1.1061,                0.57377,                 1.3193,                0.96692,                0.93759,                0.96955,                0.68783,                  1.192,                 0.4339,                 1.3604,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.0937,                0.55923,                 1.3057,                0.96395,                0.93759,                0.96882,                 0.6905,                 1.1893,                0.43527,                  1.364,               0.003334,               0.003334,               0.003334
                    104,                 1.1039,                0.55502,                 1.2951,                0.96131,                0.93761,                 0.9688,                0.68898,                 1.1851,                0.43403,                 1.3636,               0.003268,               0.003268,               0.003268
                    105,                 1.0904,                0.55171,                 1.2899,                0.96372,                0.93614,                0.96746,                0.68823,                 1.1862,                0.43315,                 1.3669,               0.003202,               0.003202,               0.003202
                    106,                 1.1045,                0.55609,                 1.2991,                0.96416,                0.93709,                0.96848,                0.68995,                 1.1834,                0.43353,                 1.3642,               0.003136,               0.003136,               0.003136
                    107,                 1.0864,                0.54324,                 1.2901,                0.96563,                0.93759,                0.96954,                0.69022,                 1.1842,                0.43322,                 1.3656,                0.00307,                0.00307,                0.00307
                    108,                 1.0777,                0.53796,                 1.2895,                0.96417,                 0.9374,                0.96828,                0.68986,                 1.1838,                0.43219,                 1.3654,               0.003004,               0.003004,               0.003004
                    109,                 1.0777,                0.54644,                 1.2857,                0.96417,                0.93743,                0.96879,                0.69128,                 1.1829,                0.43166,                 1.3651,               0.002938,               0.002938,               0.002938
                    110,                 1.0826,                0.54758,                 1.2983,                0.96416,                 0.9371,                0.96822,                0.69108,                  1.185,                0.43434,                 1.3706,               0.002872,               0.002872,               0.002872
                    111,                 1.0818,                0.55619,                 1.3072,                0.96414,                0.93651,                0.96808,                0.69143,                 1.1828,                0.43253,                 1.3711,               0.002806,               0.002806,               0.002806
                    112,                 1.0719,                0.52556,                 1.2864,                0.95599,                0.94587,                0.96827,                0.69261,                 1.1794,                0.43347,                 1.3683,                0.00274,                0.00274,                0.00274
                    113,                 1.0665,                0.54803,                 1.2753,                0.95724,                 0.9463,                 0.9684,                0.69245,                 1.1802,                0.43144,                 1.3716,               0.002674,               0.002674,               0.002674
                    114,                 1.0536,                0.52818,                 1.2769,                0.95699,                 0.9463,                0.96921,                0.69445,                 1.1783,                 0.4305,                 1.3692,               0.002608,               0.002608,               0.002608
                    115,                 1.0368,                0.51031,                 1.2674,                0.95739,                0.94564,                0.96941,                0.69436,                 1.1761,                0.43115,                 1.3681,               0.002542,               0.002542,               0.002542
                    116,                 1.0519,                0.51862,                 1.2762,                0.95733,                0.94423,                0.96782,                0.69559,                  1.176,                0.42958,                 1.3693,               0.002476,               0.002476,               0.002476
                    117,                 1.0469,                0.51413,                 1.2696,                0.95734,                0.94448,                0.96811,                0.69542,                 1.1774,                0.42948,                 1.3709,                0.00241,                0.00241,                0.00241
                    118,                 1.0483,                0.51304,                 1.2721,                 0.9588,                 0.9458,                0.96939,                0.69618,                 1.1773,                0.42795,                 1.3716,               0.002344,               0.002344,               0.002344
                    119,                 1.0332,                0.50827,                 1.2595,                0.96699,                0.93539,                0.96789,                0.69523,                 1.1764,                 0.4281,                 1.3721,               0.002278,               0.002278,               0.002278
                    120,                 1.0474,                0.51946,                 1.2577,                0.96715,                0.93469,                0.96785,                0.69611,                 1.1748,                0.42747,                  1.371,               0.002212,               0.002212,               0.002212
                    121,                  1.024,                0.50149,                 1.2379,                0.96706,                 0.9373,                0.96786,                0.69687,                 1.1748,                0.42653,                 1.3713,               0.002146,               0.002146,               0.002146
                    122,                 1.0381,                 0.5009,                 1.2393,                0.96851,                0.93753,                0.96808,                0.69796,                 1.1751,                0.42526,                 1.3706,                0.00208,                0.00208,                0.00208
                    123,                 1.0286,                0.50475,                 1.2296,                0.96848,                0.93655,                0.96824,                0.69693,                 1.1772,                0.42517,                 1.3732,               0.002014,               0.002014,               0.002014
                    124,                 1.0204,                0.49422,                 1.2297,                0.96613,                0.93759,                0.96806,                0.69698,                 1.1756,                0.42493,                  1.372,               0.001948,               0.001948,               0.001948
                    125,                 1.0188,                 0.4871,                 1.2188,                0.96563,                0.93777,                0.96819,                0.69652,                 1.1746,                 0.4238,                 1.3705,               0.001882,               0.001882,               0.001882
                    126,                 1.0133,                0.48341,                 1.2196,                0.96707,                 0.9378,                0.96867,                 0.7002,                  1.173,                0.42342,                  1.368,               0.001816,               0.001816,               0.001816
                    127,                 1.0187,                0.49561,                 1.2176,                0.96563,                  0.938,                0.96865,                0.70135,                 1.1736,                0.42336,                 1.3678,                0.00175,                0.00175,                0.00175
                    128,                 1.0071,                0.48913,                 1.2166,                 0.9656,                 0.9371,                0.96875,                0.70274,                 1.1721,                0.42232,                  1.367,               0.001684,               0.001684,               0.001684
                    129,                 1.0078,                0.48316,                 1.2168,                0.96627,                0.93614,                0.96894,                0.70302,                 1.1716,                0.42051,                 1.3667,               0.001618,               0.001618,               0.001618
                    130,                 1.0064,                0.47994,                 1.2121,                0.97146,                0.93033,                0.96899,                0.70277,                 1.1703,                0.42036,                 1.3655,               0.001552,               0.001552,               0.001552
                    131,                 1.0016,                0.48865,                 1.2054,                0.97161,                0.93033,                0.96892,                0.70218,                 1.1697,                0.42023,                 1.3643,               0.001486,               0.001486,               0.001486
                    132,                 1.0013,                0.48233,                 1.2059,                0.97129,                0.93033,                0.96875,                0.70239,                 1.1684,                0.42118,                 1.3622,                0.00142,                0.00142,                0.00142
                    133,                0.99703,                0.47183,                 1.2031,                0.96997,                0.93179,                 0.9688,                0.70209,                 1.1678,                   0.42,                 1.3602,               0.001354,               0.001354,               0.001354
                    134,                0.98546,                0.48353,                 1.1929,                0.97127,                0.93238,                0.96885,                0.70114,                 1.1679,                 0.4201,                 1.3593,               0.001288,               0.001288,               0.001288
                    135,                0.98373,                 0.4712,                 1.2067,                0.97127,                0.93227,                0.96886,                0.70137,                 1.1674,                0.42045,                 1.3581,               0.001222,               0.001222,               0.001222
                    136,                0.96788,                0.45628,                 1.1973,                0.96983,                0.93308,                0.96885,                0.70161,                  1.167,                0.41996,                  1.358,               0.001156,               0.001156,               0.001156
                    137,                0.97925,                0.45965,                 1.2016,                0.96847,                0.93324,                0.96876,                0.70181,                 1.1671,                 0.4187,                 1.3582,                0.00109,                0.00109,                0.00109
                    138,                0.96412,                  0.459,                 1.2037,                0.96839,                 0.9337,                0.96878,                0.70203,                 1.1672,                0.41826,                 1.3585,               0.001024,               0.001024,               0.001024
                    139,                0.96971,                0.45135,                 1.2032,                0.97133,                0.93324,                0.96896,                0.70119,                 1.1665,                0.41845,                 1.3576,               0.000958,               0.000958,               0.000958
                    140,                0.95962,                0.46061,                 1.1972,                0.97004,                0.93324,                0.96845,                0.70148,                 1.1668,                0.41823,                 1.3579,               0.000892,               0.000892,               0.000892
                    141,                0.88103,                0.38516,                 1.1416,                0.97042,                0.93179,                0.96569,                0.70095,                 1.1671,                0.41658,                 1.3583,               0.000826,               0.000826,               0.000826
                    142,                 0.8708,                0.38091,                 1.1378,                0.97212,                0.93324,                0.96768,                0.70218,                 1.1671,                0.41782,                  1.358,                0.00076,                0.00076,                0.00076
                    143,                0.86781,                0.38125,                  1.139,                0.95744,                0.94691,                0.96746,                0.70218,                 1.1673,                0.41704,                 1.3582,               0.000694,               0.000694,               0.000694
                    144,                0.86263,                 0.3801,                 1.1245,                0.95885,                0.94699,                0.96791,                0.70301,                 1.1677,                0.41762,                 1.3586,               0.000628,               0.000628,               0.000628
                    145,                0.86913,                0.38514,                 1.1355,                0.95745,                0.94708,                0.96774,                0.70337,                  1.168,                0.41764,                 1.3586,               0.000562,               0.000562,               0.000562
                    146,                 0.8534,                0.37444,                  1.122,                0.95744,                0.94678,                  0.968,                0.70314,                 1.1676,                0.41741,                 1.3589,               0.000496,               0.000496,               0.000496
                    147,                0.85515,                0.37766,                 1.1293,                 0.9685,                0.93708,                0.96778,                0.70308,                 1.1674,                0.41728,                  1.359,                0.00043,                0.00043,                0.00043
                    148,                0.85922,                0.37651,                 1.1243,                0.96995,                0.93698,                0.96846,                0.70367,                 1.1676,                0.41657,                 1.3592,               0.000364,               0.000364,               0.000364
                    149,                0.84963,                0.37831,                 1.1249,                0.96646,                0.93759,                0.96826,                0.70383,                 1.1679,                0.41647,                 1.3598,               0.000298,               0.000298,               0.000298
                    150,                0.83327,                 0.3658,                 1.1043,                0.96009,                0.94268,                0.96815,                0.70356,                 1.1682,                0.41659,                 1.3599,               0.000232,               0.000232,               0.000232
